Scenario_ID;Source;Destination;Demand_Mbps;Status;Mean_Cost;Std_Dev;Best_Cost;Worst_Cost;Avg_Time_Sec;Best_Path_Found
1;8;44;200;SUCCESS;4.3706;0.0;4.3706;4.3706;0.0926;[8, 23, 44]
2;24;221;172;SUCCESS;4.1041;0.3422;3.933;4.7885;0.0774;[24, 58, 221]
3;32;42;162;SUCCESS;6.8341;0.0;6.8341;6.8341;0.0811;[32, 35, 42]
4;37;208;124;SUCCESS;4.6893;0.0096;4.6845;4.7085;0.0833;[37, 112, 208]
5;51;124;94;SUCCESS;2.6846;0.0;2.6846;2.6846;0.0505;[51, 124]
6;53;19;57;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
7;58;106;115;SUCCESS;6.8041;0.0;6.8041;6.8041;0.0812;[58, 103, 106]
8;64;237;98;SUCCESS;3.458;0.0;3.458;3.458;0.0534;[64, 237]
9;77;67;135;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
10;82;39;19;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
11;85;180;24;SUCCESS;5.057;0.0;5.057;5.057;0.0823;[85, 177, 180]
12;87;193;98;SUCCESS;5.2828;0.0;5.2828;5.2828;0.0512;[87, 193]
13;94;68;115;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
14;97;7;45;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
15;98;70;144;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
16;103;242;189;SUCCESS;2.1983;0.0;2.1983;2.1983;0.0565;[103, 242]
17;108;129;84;SUCCESS;6.2892;0.0;6.2892;6.2892;0.0862;[108, 119, 129]
18;142;136;82;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
19;155;81;59;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
20;159;177;47;SUCCESS;7.1587;0.0;7.1587;7.1587;0.0924;[159, 169, 177]
21;180;225;169;SUCCESS;5.2689;0.0;5.2689;5.2689;0.0526;[180, 225]
22;187;189;174;SUCCESS;3.039;0.0;3.039;3.039;0.0592;[187, 189]
23;189;128;18;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
24;196;143;191;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
25;212;75;148;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
26;224;27;32;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
27;235;139;190;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
28;245;94;33;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
29;246;144;119;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
30;248;189;21;FAIL;0.0;0.0;0.0;0.0;0.0;Yok
